air-cooled condenser;n.;null;geothermal energy;heat exchange;condenseur à air;A condenser that rejects heat to the surrounding air.;Carbon Architecture;Based on : How refrigeration works;website, 2013;http://effbox.com/product/how-it-works/;"1. ""In a binary geothermal plant where there is not a sufficient supply of water for an evaporative cooling system, heat must be rejected to atmospheric air. This heat rejection is accomplished through the use of large air-cooled condenser units in which air is forced through several rows of long individually finned tubes by large fans.""

2. ""An air-cooled condenser used for refrigeration and heat pump applications generally consists of plate-fin-tubes.""";"
1.M. S. SOHAL, J. E. O’BRIEN
Date: 2001
http://geothermal.inel.gov/publications/articles/sohalgrc90-01paper.pdf
2.Shuangquan SHAO, Xianting LI, Wenxing SHI
";"1.Title: Improving Air-cooled Condenser Performance using Winglets and oval Tubes in a Geothermal Power Plant 

2.Title: A Universal Simulation Model of Air-Cooled Condenser Consisting of Plate-Fin-Tube";"
1. website, 2001

2. website, 2003
";"
1. http://geothermal.inel.gov/publications/articles/sohalgrc90-01paper.pdf                      
2.
http://scitation.aip.org/getabs/servlet/GetabsServlet?prog=normal&id=ASMECP002003036932000729000001&idtype=cvips&gifs=yes&ref=no";An Air Cooled Condenser (ACC) is made of modules arranged in parallel rows. Each module contains a number of fin tube bundles. An axial flow, forced-draft fan located in each module forces the cooling air across the heat exchange area of the fin tubes.;SPX Cooling Technologies ;Air Cooled Condensers - Dry Cooling   ;website, 2012;http://spxcooling.com/en/products/detail/air-cooled-condensers;null;air-cooled condenser system, air-cooled condenser unit;null;null;air condenser, ACC;null;null;condenser;fin and tube condenser, plate condenser;module, fin tube, fan, coil, bundle;heat pump (not systematic), geothermal plant  (not systematic);;;;;;;;
drilling mud ;n.;null;geothermal energy;electricity production;boue de forage;A fluid which is circulated through the well during drilling to bring the cuttings back to the surface and to cool the well.;"State of California
";Geothermal production wells;website, 2013;http://1.usa.gov/HUi7BH;"""The rotary drilling process uses classical rock crushing by the means of a drilling bit, which is supported by a BHA and a drill string through which drilling mud is pumped in order to transport the cuttings. The drilling mud generates pressure in the hole, which supports the wellbore until a protection (casing) is inserted.""
";"Catalin TEODORIOU, Christophe CHEUFFA
";A Comprehensive Review of Past and Present Drilling Methods with Application to Deep Geothermal Environment ;report, 2011;http://www.geothermal-energy.org/pdf/IGAstandard/SGW/2011/teodoriu.pdf;The result of using drilling mud is cooler bottom hole temperatures, but elevated temperature at the surface of the annulus fluid.;"Erin R ANDERSON

";Aluminum Alloy Drill Pipe in Geothermal Drilling;report, 2010;http://www.geothermal-energy.org/pdf/IGAstandard/WGC/2010/2102.pdf;null;drilling mud pressure;null;null;drill mud, mud;null;null;fluid;null;null;well;;;;;;;;
dry steam plant;n.;null;geothermal energy;electricity production;centrale à vapeur sèche;A geothermal power plant using dry or slightly superheated geosteam to drive the turbine.;Massachusetts Institute of Technology;The Future of Geothermal Energy;website, 2008;http://fr.scribd.com/doc/123712461/future-of-geothermal-energy#scribd;"""Dry steam plants, which make up about a quarter of geothermal capacity today, directly utilise dry steam that is piped from production wells to the plant and then to the turbine.""";INTERNATIONAL ENERGY AGENCY;Technology roadmap geothermal heat and power;report, 2011;https://www.iea.org/publications/freepublications/publication/Geothermal_Roadmap.pdf;The first and oldest technology is the dry steam plant which utilizes geothermal fluids that are primarily steam. This steam is piped directly to a turbine that drives a generator that produces electricity.;National Geographic;Tapping the Earth's Heat;website, 2015;http://environment.nationalgeographic.com/environment/global-warming/geothermal-profile/;null;null;null;null;dry steam GPP;null;null;geothermal power plant;null;production well, rock catcher, steam turbine, generator, injection well, injection pump, cooling tower (not systematic);null;;;;;;;;
flash plant;n.;null;geothermal energy;mechanical engineering;centrale à vaporisation par flash;A geothermal plant in which hot compressed brine is brought to the surface, flashed to a lower pressure and converted into steam.;Hal GURGENCI;Geothermal Energy Centre of Excellence;website, 2015;http://www.geothermal.uq.edu.au/;"""In a flash plant, the reservoir is filled with hot brine. It is compressed under the hydrostatic head (because it is deep). If it is hot enough, it would turn into dry steam when its pressure is reduced, similar to what happens in a pressure cooker when the valve is released, but still would be at a pressure high enough to turn a turbine. So, in a flash plant, hot compressed brine is brought to the surface and flashed to a lower pressure and converted into steam.""";Hal GURGENCI;Hal Gurgenci's Geothermal Blog ;website, 2009;http://www.geothermal.uq.edu.au/;"Recently, people are opting for binary plants, even in those instances when a flash plant may also be possible. This is because in a flash plant the non-condensable gases in the brine (CO2, H2S) are released to atmosphere, in a binary plant they are sent back to the reservoir.
Flash power plants typically require resource temperatures in the range of 350 to 500oF (177oC to 260oC).";A.KAGEL;The State of Geothermal Technology Part II: Surface Technology;report, 2008;http://www.geo-energy.org/reports/Geothermal%20Technology%20-%20Part%20II%20(Surface).pdf;null;single flash plant, double flash plant, multi-stage flash plant;geothermal flash plant;null;flash steam plant, flash power plant, flash steam power plant;null;single flash plant (pseudo-synonym);geothermal plant;single flash plant, double flash plant;production well, injection well, flash tank, generator, turbine, separator;null;;;;;;;;
geothermal plant;n.;null;geothermal energy;hydrology;centrale géothermique;A plant in which the prime mover is a steam turbine which is driven either by steam produced from hot water or by natural steam that derives its energy from heat found in rocks or fluids at various depths beneath the surface of the Earth.;Catalin TEODORIOU, Christophe CHEUFFA;A Guide to Geothermal Energy and the Environment;report, 2011;http://geo-energy.org/reports/environmental%20guide.pdf;"""Geothermal plants rely upon one or a combination of three types of conversion technology – binary, [dry] steam, and flash – to utilize the thermal energy from the hot subsurface fluids and produce electricity.""";A. KAGEL;The State of Geothermal Technology Part II: Surface Technology;report, 2008;http://www.geo-energy.org/reports/Geothermal%20Technology%20-%20Part%20II%20(Surface).pdf;At a geothermal plant, fuel is geothermal water heated naturally in the earth, so no burning of fuel is required.;A.KAGEL;The State of Geothermal Technology Part II: Surface Technology;report, 2008;http://www.geo-energy.org/reports/Geothermal%20Technology%20-%20Part%20II%20(Surface).pdf;null;flash/binary geothermal plant, binary cycle geothermal plant;null;null;geothermal power plant, GPP;null;null;plant;binary plant, flash plant, flash/binary plant, dry steam plant, combined heat and power plant;steam turbine, generator, production well, injection well, air-cooled condenser (not systematic);null;;;;;;;;
geothermal reservoir;n.;null;geothermal energy;direct-use geothermal application;aquifère;A geothermal resource made of a natural system of fractured and permeable rocks, along with the hot water or steam circulating in that volume of rock.;Catalin TEODORIOU, Christophe CHEUFFA;A Guide to Geothermal Energy and the Environment;report, 2011;http://geo-energy.org/reports/environmental%20guide.pdf;"""Wells are drilled into this natural collection of hot water or steam, called a geothermal reservoir, in order to bring it to the surface and use it for electricity production.""";"Catalin TEODORIOU, Christophe CHEUFFA

";A Guide to Geothermal Energy and the Environment;guide, 2011;http://www.geothermal-energy.org/pdf/IGAstandard/SGW/2011/teodoriu.pdf;Most geothermal reservoirs are found deep underground, well below groundwater reservoirs.;"Catalin TEODORIOU, Christophe CHEUFFA

";A Guide to Geothermal Energy and the Environment;guide, 2011;http://www.geothermal-energy.org/pdf/IGAstandard/SGW/2011/teodoriu.pdf;null;enhanced geothermal reservoir, fractured geothermal reservoir;null;null;null;null;null;geothermal resource;null;null;null;;;;;;;;
Ground Heat Exchanger;n.;null;geothermal energy;direct-use geothermal application;capteur géothermique;A heat exchanger designed for extraction or injection of thermal energy from/into the ground, consisting of closed-loop of pipes buried in boreholes. ;Seama KOOHI-FAYEGH, Marc A. ROSEN;Modelling Thermally Interacting Multiple Boreholes with Variable Heating Strength;article 2012;www.wsforum.org;"""The ground heat exchanger can make use of a series of deep vertical holes (boreholes) or a horizontal arrangement of pipes buried a few of metres below the surface.[...] Because the ground temperature is steady year round below the surface, vertical GHXs are more efficient than horizontal GHXs, which may experience seasonal temperature fluctuations.""";"MINISTER OF NATURAL RESSOURCES CANADA
";Ground-source heat pump project analysis;website, 2015;http://www.nrcan.gc.ca/home;null;null;null;null;null;null;ground heat exchanger sizing, ground heat exchanger conduction;vertical ground heat exchanger, horizontal ground heat exchanger;null;GHE;null;null;heat exchanger;vertical ground heat exchanger, horizontal ground heat exchanger;pipe, collector, heat transfer fluid, circulation pump;null;;;;;;;;
horizontal ground heat exchanger;n.;null;geothermal energy;drilling equipment;capteur horizontal;A ground heat exchanger in which the pipes are shallow and parallel to the ground.;Definition written by the operator;null;null;null;"""A horizontal GHX consists of a series of pipes laid out in trenches, usually one to two meters below the surface.""";"MINISTER OF NATURAL RESSOURCES CANADA
";Ground-source heat pump project analysis;website, 2015;http://www.nrcan.gc.ca/home;Typically, about 35 to 55 meters of pipe are installed per kW of heating and cooling capacity. Many configurations of the horizontal GHX are possible [...]. When land area is limited, a coiled pipe, also called “slinky” or spiral, may be used in order to fit more piping into a trench area. […] For horizontal GHX, the method takes into account surface effects that have a significant influence on horizontal soil/field resistance values.;null;null;null;null;null;linear horizontal ground heat exchanger;null;null;horizontal GHE, horizontal GHX;null;null;ground heat exchanger;null;pipes, coiled pipes (not systematic);shallow earth;;;;;;;;
 reamer;n.;null;geothermal energy;electricity production;aléseur;A device with cutting edges used to smooth the wall of a well, enlarge the hole to the specified size, help stabilize the bit, straighten the wellbore, and drill directionally.;"
Merriam-Webster, Incorporated
";The Merriam-Webster Dictionary;website, online dictionary, 2012;http://www.merriam-webster.com/dictionary/reamer;[A reamer] is a drilling device that can enlarge a drill hole. The device is placed about the drill bit and can be opened to drill and then closed to be brought back up through smaller diameter hole or casing.;US DEPARTMENT OF ENERGY;An Evaluation of Enhanced Geothermal Systems Technology;report, 2008;http://www1.eere.energy.gov/geothermal/pdfs/evaluation_egs_tech_2008.pdf;Reamers are multi-fluted, end-cutting tools used to finish previously formed holes to exact diameters. Reamers should not be used to enlarge holes significantly — the maximum recommended use to enlarge a hole is 5 percent depending on the material being machined and its hardness.;American Machinist;Reamers and reaming;website, 2015;http://americanmachinist.com/;null;reamer bit, near-bit reamer, near bit roller reamer, reamer pad, rotary reamer, pipe reamer, drill reamer;hollow reamer;null;drill reamer;null;hole opener (pseudo-synonym);device;hand reamer, machine reamer, chucking reamer, fluting reamer, expanding reamer, adjustable reamer, shell reamer;shank, neck, fluted section;wellbore;;;;;;;;
spiral heat exchanger;n.;null;geothermal energy;direct-use geothermal application;corbeille géothermique;A heat exchanger in a coiled tube configuration with two channels coiled one around the another and operating in a counter-flow arrangement.;"Petex and the University of Texas Austin
";Spiral Heat Exchanger (SHE) Technology;website, 2011;http://spiralheatexchanger.com/;"""The concept of a spiral heat exchanger is as simple as it is sophisticated. Two or four long metal strips, onto which spacer studs are welded, are wound around a core, thus creating two or four equally spaced single passage channels. The concentric shape of the flow-passages and the studs yield turbulence already at low Reynolds numbers.""";TRANTER HES ;Spiral heat exchangers;brochure, 2009;http://www.bielletec.it/pdf/Tranter-Spirali.pdf;"Spiral heat exchangers have three types of flow arrangements:
- Firstly, the spiral flow and cross flow has one fluid in each. The spiral flow passages are welded at each side and this type of flow is good for handling low density gases which pass through the cross flow. This can be used for liquid-to-liquid applications if one fluid has a much greater flow rate than the other. 
- A second type is the distributed vapor and spiral flow. The coolant moves in a spiral and exits through the top. The hot gases that enter will leave as condensate out of the bottom outlet.  
- The third type is the countercurrent flow where both of the fluids will flow in opposite directions and are used for liquid-to-liquid applications. ";"R. B. KAMARUDDIN

";Design of a small Heat Exchanger (shell-and-tube type);2010;http://umpir.ump.edu.my/1908/1/Rabiatuladawiah_Kamaruddin_%28_CD_4969_%29.pdf;null;null;horizontal spiral heat exchanger;null;SHE, spiral exchanger;null;null; heat exchanger;spiral tube heat exchanger, spiral plate heat exchanger;metal strips, spacer studs, core, passage channels;heat pump (not systematic);;;;;;;;
acetic acid;n.;null;biomass;chemical substance;acide acétique ;A two-carbon carboxylic acid commonly associated with vinegar. ;MedicineNet.com;Definition of Acid Acetic;website, 2012;http://www.medicinenet.com/script/main/art.asp?articlekey=32085;In the food industry, acetic acid is used under the food additive code E260 as an acidity regulator and as a condiment. ;Royal Society of Chemistry;LearningChemistry;website, 2015;http://www.rsc.org/learn-chemistry/resource/rws00000171/acetic-acid; It is the most commercially important organic acid and is used in the manufacture of a broad range of chemical products, such as plastics and insecticides.;MedicineNet.com;Definition of Acid Acetic;website, 2012;http://www.medicinenet.com/script/main/art.asp?articlekey=32085;null;acetic acid solution;anhydrous acetic acid;null;CH3COOH (chemical formula);null;CH3COOH, ethanoic acid (quasi-synonyms);carboxylic acid;null;hydrogen, oxygen, carbon, atom, ;null;;;;;;;;
